user_name,signature,verified,basic_stats,collabs,music_collabs,hashtags
benedictquinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,"follower_count : 813
following_count : 140
likes_count : 4976
video_count : 69
last_active : 2021-11-03
freq_post : 9 days
","jasmineoakleymusic
itsolihannaford
augie_bello","jasmineoakleymusic : https://tiktok.com/@benedictquinn/video/6986018195622694149 (mention, vidéo num: 9)
itsolihannaford : https://tiktok.com/@benedictquinn/video/6947652360986561798 (mention, vidéo num: 20)
","instruments : guitar (16), bass (8), drums (1), synth (2), chords (8), saxophone (1)
styles : jazz (7), rnb (2), hiphop (3), indie (1), groove (5), neosoul (5), indiemusic (1), lofi (8)
others : asktiktok, music, instrumental, chill, lofi, duetwithme, lofihiphop, guitar, beat, chillmusic, naturevibes, lofichill, musicforyou, fypシ, fyp, indie, indiemusic, acoustic, singersongwriter, chillvibes
"
jasmineoakleymusic,"Artist, my debut single ‘Gone’ out now ⬇️",False,"follower_count : 5524
following_count : 65
likes_count : 65500
video_count : 64
last_active : 2022-01-29
freq_post : 10 days
","rubenwan
tenitinks1
pastelmusique
benedictquinn
thatdappermusician","rubenwan : https://tiktok.com/@jasmineoakleymusic/video/6946008339134418181 (duo, vidéo num: 29)
tenitinks1 : https://tiktok.com/@jasmineoakleymusic/video/7053426673982639365 (mention, vidéo num: 4)
benedictquinn : https://tiktok.com/@jasmineoakleymusic/video/6975678994733731078 (mention, vidéo num: 12)
thatdappermusician : https://tiktok.com/@jasmineoakleymusic/video/6960587530571992326 (mention, vidéo num: 14)
","instruments : guitar (12), bass (3), piano (2), drums (2)
styles : jazz (2), rap (1), rnb (21), neosoul (2), gospel (3)
others : fy, fyp, nature, sunset, romantic, pinkskies, gone, music, singer, riffs, riffsandruns, rnb, piano, keys, paino, jam, musician, water, calm, relaxing
"
itsolihannaford,Posting beats here and there,False,"follower_count : 65
following_count : 26
likes_count : 221
video_count : 3
last_active : 2021-04-21
freq_post : 8 days
","benedictquinn
nothing_neue","benedictquinn : https://tiktok.com/@itsolihannaford/video/6947576160473713925 (mention, vidéo num: 2)
","instruments : bass (1), drums (1)
styles : jazz (3), neosoul (3), lofi (1)
others : jazz, beats, lofibeats, neosoul, jam, jazzguitar, lofi, bass, drums, boombap
"
tenitinks1,Artist & Background vocalist to the stars 💫,False,"follower_count : 291
following_count : 263
likes_count : 652
video_count : 8
last_active : 2022-01-04
freq_post : 54 days
",,,"instruments : 
styles : 
others : hrsandhrs, munilonghourschallenge, victoriamonet, fuck, frienducankeep, cover, singer, tiktoksinger, lovegalore, sza, tenitinks, coversong, singingvids, singers, live, summerwalkerchallenge, harmonies, angel, vocals, wonderful
"
thatdappermusician,Keys mainly🎹among other things,False,"follower_count : 688
following_count : 454
likes_count : 6030
video_count : 58
last_active : 2022-01-23
freq_post : 6 days
","rjthecomposer
jeremyolenski
profflutebae
amandlafr
dompalombimusic
huberjonathan
vadesings
caseybassy
ralphb0ne
laurathelegs
sampopemusic
raquel.themartins
ellenonceagain
foolishfrankie
torreredman
damoyee
wizeprep
theonlytylerl
andrew.hadro
rorymckenna93
staceyryanmusic
alexengelberg
tiktok
andpacker
maha_yrysbekova
alesssos
meganhealytv
projectatlanticmusic
jimm3rz","profflutebae : https://tiktok.com/@thatdappermusician/video/6989540503507242246 (duo, vidéo num: 6)
dompalombimusic : https://tiktok.com/@thatdappermusician/video/6974904235649535238 (duo, vidéo num: 8)
huberjonathan : https://tiktok.com/@thatdappermusician/video/6968427695713651974 (duo, vidéo num: 12)
vadesings : https://tiktok.com/@thatdappermusician/video/6966966493846244613 (duo, vidéo num: 14)
ralphb0ne : https://tiktok.com/@thatdappermusician/video/6951125766427970822 (duo, vidéo num: 20)
raquel.themartins : https://tiktok.com/@thatdappermusician/video/6942883016842677509 (duo, vidéo num: 28)
theonlytylerl : https://tiktok.com/@thatdappermusician/video/6936215679314005253 (duo, vidéo num: 37)
andrew.hadro : https://tiktok.com/@thatdappermusician/video/6930282090340683013 (duo, vidéo num: 46)
alesssos : https://tiktok.com/@thatdappermusician/video/6964270665725725958 (mention, vidéo num: 16)
projectatlanticmusic : https://tiktok.com/@thatdappermusician/video/6932121200319532293 (mention, vidéo num: 45)
","instruments : bass (1), piano (1), chords (2), saxophone (1)
styles : jazz (3), funk (1), pop (1), hiphop (1), lofi (1), gospel (1)
others : jazztok, cedarwalton, musicschool, christmas, piano, jazz, ewf, september, feelgood, vibes, pop, effect, synths, head, duet, musician, unresolved, flutetok, cover, videogamemusic
"
rubenwan,listen to my music ↓ ↓ ↓,False,"follower_count : 55800
following_count : 83
likes_count : 377900
video_count : 96
last_active : 2022-01-29
freq_post : 11 days
","jamieboymusic
bandlab
dojacat",,"instruments : guitar (26), chords (8)
styles : pop (1), rap (2), rnb (3), neosoul (4), house (1)
others : guitartok, singers, rappers, guitar, singing, beat, songwriters, acousticguitar, fyp, songwriter, producer, lyrics, acoustic, chords, music, rnb, kpop, cantautor, panama, rnbvibes
"
profflutebae,"Professor of Flute Studies, TnSU 🐯🎶
Mother 🤱🏾
Flutebae®️",False,"follower_count : 21100
following_count : 90
likes_count : 274400
video_count : 30
last_active : 2022-01-29
freq_post : 29 days
","danfabervocalstudio
munilong
silksonic
brassville
gmurray888
thebookishbaddie
juliekirby","gmurray888 : https://tiktok.com/@profflutebae/video/6987006896645344517 (mention, vidéo num: 7)
","instruments : flute (5)
styles : 
others : flutebae, flutetok, blackmusiciansoftiktok, musiceducator, flutistsoftiktok, hrsandhrs, hrsandhrschallenge, blackmusicians, musiciansoftiktok, blackcreatorsoftiktok, musiciantok, duet, smallblackbusiness, flutist, blackcreatives, 1stviral, dancetok, 4thofjuly, july4th, flute
"
dompalombimusic,"GAME NIGHT IS OUT NOW!!! STREAM IT ON SPOTIFY/APPLE MUSIC, AND MORE!!!",False,"follower_count : 39500
following_count : 1110
likes_count : 997700
video_count : 437
last_active : 2022-01-28
freq_post : 3 days
","scarypockets
spencerarjang
augie_bello
gil.assayas
jemheigis
alesssos
s_johnson_voiceovers
mrhamilton
alexengelberg
mollymcphaul
johnmarknelson
jakechapman
caseybassy
connorterrones
_miri_music
theryanslatko
nicomendozamusic
danaegreenfield
julia.lange.guitar
elgatogaming
nickymoon_custom_cymbals
os_newyorkcity","jemheigis : https://tiktok.com/@dompalombimusic/video/7053117053527625007 (duo, vidéo num: 4)
alesssos : https://tiktok.com/@dompalombimusic/video/7048308850344332591 (duo, vidéo num: 9)
theryanslatko : https://tiktok.com/@dompalombimusic/video/7052376752999615790 (mention, vidéo num: 5)
nicomendozamusic : https://tiktok.com/@dompalombimusic/video/7052376752999615790 (mention, vidéo num: 5)
","instruments : drums (13)
styles : jazz (2), funk (3), rnb (1), hiphop (2), groove (1), lofi (1)
others : greenhillzone, retrogaming, sonicthehedgehog, dompalombisgamenight, duet, drummers, snarkypuppy, goodforyou, drums, pacman, midiart, retro, videogames, vgm, funk, segagenesis, drumandbass, halo3, magfest, xbox
"
huberjonathan,"Berklee grad harmony nerd, LA. Check out my Insta!",False,"follower_count : 8440
following_count : 500
likes_count : 114000
video_count : 132
last_active : 2022-01-27
freq_post : 8 days
","iamj3po
margauxbeylier
maxoto_
livbedumb",,"instruments : synth (1), chords (1)
styles : jazz (1)
others : wurlitzer200a, itsyouilike, yourhonorimsorry, kiefer, whenthereslovearound, tour, synth, solo, stitch, transcribe, jazz, swinging, wurli, dancingqueen, abba, goat, coltrane, chords, harmony, nerd
"
vadesings,"Multi-Award Winning A Cappella R&B Quintet 
🎤🎙🇬🇧
20K✅ 30K✅40K✅ 50K✅ 75K💨",False,"follower_count : 66900
following_count : 422
likes_count : 470400
video_count : 30
last_active : 2022-01-26
freq_post : 11 days
","munilong
saucyvocals
herofficial
midenaike
natalie_lindi
usher
swinglesingers
e_reacts
boyziimenofficial
pyebz",,"instruments : 
styles : jazz (1), rnb (12)
others : munilonghourschallenge, vade, vadeduets, vadesings, fyp, foryou, foryoupage, acapella, fypシ, africa, rnb, boyziimen, thankyou, ghanatiktok🇬🇭, nigeriantiktok, zimtiktok, saucyvadeduet, steviewonder, vocals, jazz
"
