user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,only_mentions,only_duos,collabs,collabs_url,hashtags,instrument,style
benedictquinn,Ben Quinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,804,135,4962,69,2021-11-03,['jasmineoakleymusic'],[],['jasmineoakleymusic'],{'jasmineoakleymusic': 'https://v16-webapp.tiktok.com/8027e5205aaff19f15fb441fe314326b/61d37e03/video/tos/useast2a/tos-useast2a-ve-0068c002/b6a04b31b97748f094987809e50e50e2/?a=1988&br=1794&bt=897&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165125010223122210055E0371&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzV2ODc6ZjNvNjMzNzczM0ApNDM3NzdnZjtkN2g5Zmc6M2cya15gcjQwMm1gLS1kMTZzc2AwMTNiYV4xNGFeYjY0Nl86Yw%3D%3D&vl=&vr='},"['asktiktok', 'music', 'instrumental', 'chill', 'lofi', 'duetwithme', 'lofihiphop', 'guitar', 'beat', 'chillmusic', 'naturevibes', 'lofichill', 'musicforyou', 'fypシ', 'fyp', 'indie', 'indiemusic', 'acoustic', 'singersongwriter']",['guitar'],"['indie', 'indiemusic', 'lofi']"
jasmineoakleymusic,Jasmine Oakley,Singer/Artist  ✨,False,5536,58,65200,54,2022-01-02,"['pastelmusique', 'benedictquinn', 'thatdappermusician']",[],"['pastelmusique', 'benedictquinn', 'thatdappermusician']","{'pastelmusique': 'https://v16-webapp.tiktok.com/74559fa6fa0bb028d9fc2199e1ee0619/61d37e27/video/tos/useast2a/tos-useast2a-pve-0068/6b55af593bcf41019a88026c6404fd60/?a=1988&br=1012&bt=506&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201031651350102231222100A5D430E&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=andvNzo6Zmh2OjMzNzczM0ApNWk4aTtoZzs0N2c7aGU7NWcvYWkycjRfMDVgLS1kMTZzc2M2Ll8wNDJfNi1fNGAtMWM6Yw%3D%3D&vl=&vr=', 'benedictquinn': 'https://v16-webapp.tiktok.com/aa758048d44b513ea1b9b69da3e2f793/61d37e0d/video/tos/useast2a/tos-useast2a-ve-0068c001/66765dab42864a038b1be4a1f7f7b2ae/?a=1988&br=1012&bt=506&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201031651350102231222100A5D430E&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anV5dW46eTg8NjMzODczNEApZjVpZWhnZWQ1NzNkPDQ5NGc2L2VfbGc2YjRgLS1kMS1zczNfNDE2MTE2LS80YGFhYC46Yw%3D%3D&vl=&vr=', 'thatdappermusician': 'https://v16-webapp.tiktok.com/3fb4e7b6c745d2362b4c0f4812cae727/61d37e17/video/tos/alisg/tos-alisg-pve-0037c001/065c0f5d6e52419c8b0c5eea298072d1/?a=1988&br=610&bt=305&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=Yu12_F8rkag3-I&l=202201031651350102231222100A5D430E&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anZrOTxob3lpNTMzODczM0ApZjw8OTs4O2RoNzk0M2gzO2cuLjFtaC9qZmBgLS1kMTRzczAxLjEuXjJeLi8uLy1jYzY6Yw%3D%3D&vl=&vr='}","['beats', 'rnb', 'singer', 'vocalist', 'riffs', 'fy', 'fyp', 'guitarist', 'bass', 'drums', 'freeme', 'bossa', 'clones', 'soul', 'music', 'gospel', 'piano', 'riff', 'soulmusic', 'guitar', 'producer', 'outdoors', 'jazz', 'songwriter', 'vocals', 'cover', 'shilohdynasty', 'voiceeffects', 'alexisley', 'pjmorton', 'acoustic']","['guitar', 'bass', 'piano', 'drums']","['jazz', 'rnb', 'gospel']"
pastelmusique,Ｐａｓｔｅｌ,"FOLLOW ME ON IG ✨
Ｐａｓｔｅｌ",False,1058,81,4625,73,2022-01-02,"['bomelmusic', 'katpenkin', 'jasmineoakleymusic']",[],"['bomelmusic', 'katpenkin', 'jasmineoakleymusic']","{'bomelmusic': 'https://v16-webapp.tiktok.com/c908b569ddbba15e46c07b061f663d64/61d37e3f/video/tos/useast2a/tos-useast2a-ve-0068c004/e9a44122a3614968b4b9e929e82d6f79/?a=1988&br=2566&bt=1283&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165142010192061170115F825F&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzQ1NTc6ZjZxOjMzNzczM0ApZGY1OWVmOGVoN2k1ZTQ7M2cuMXBlcjRfLy9gLS1kMTZzc2EzLy0zX2M1YS1fYV4yMF46Yw%3D%3D&vl=&vr=', 'katpenkin': 'https://v16-webapp.tiktok.com/a8c9741d6d200420bf4507d541e53a3f/61d37e33/video/tos/useast2a/tos-useast2a-pve-0068/0fcd27b962234f568ef6fe74660012d4/?a=1988&br=1934&bt=967&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165142010192061170115F825F&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2c0M2Y6ZnlqOTMzNzczM0ApNjszZzZpOTxlN2kzNjxlNWdiZC9wcjRnMnNgLS1kMTZzczQ1XmEtMDVhYF8vMTFfNjY6Yw%3D%3D&vl=&vr=', 'jasmineoakleymusic': 'https://v16-webapp.tiktok.com/f0219b0919d30860b87d7c640cfb4f90/61d37e2e/video/tos/useast2a/tos-useast2a-ve-0068c003/ea1f8938cdaf4b89bfe30445d900c832/?a=1988&br=1496&bt=748&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165142010192061170115F825F&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amc8bzY6ZnFxOTMzNzczM0ApN2RoPGdoOjs2NzxkZDM7N2dxZ2FjcjRvam9gLS1kMTZzcy8wY19eMC0yLjYwNWI2M2A6Yw%3D%3D&vl=&vr='}","['tiktokmusique', 'groovy', 'funktiktok', 'musicproducer', 'idsong', 'gfunk', 'funkopop', 'fyp', 'pourtoi', 'beatmaker', 'tiktokrewind2021', 'rewindchallenge', '2021', 'foryou2021', 'foryou2022', 'tiktokmusic', 'jazztok', 'christmassong', 'rnbvibes', 'rnbtok', 'soulmusic', 'france🇫🇷', 'welcometofrance', 'frenchmorning', 'songwriter', 'livemusic', 'singer', 'bossanova', 'rnbsinger', 'neosoulmusic', 'femalesinger', 'indiepopmusic', 'studiosessions', 'lofivibes', 'omgvoices', 'neosoulguitar', 'neosoulvibes', 'lofihiphop', 'rnbmusic', 'originalmusic', 'lofibeat', 'coversong', 'britneychallenge', 'britneyspears']",[],[]
thatdappermusician,Myron Evans,Keys mainly🎹among other things,False,678,445,5990,57,2021-12-10,['tiktok'],"['rjthecomposer', 'jeremyolenski', 'profflutebae', 'amandlafr', 'dompalombimusic']","['tiktok', 'rjthecomposer', 'jeremyolenski', 'profflutebae', 'amandlafr', 'dompalombimusic']","{'tiktok': 'https://v16-webapp.tiktok.com/6e22f625f483e983044668c333a34ed7/61d37e2f/video/tos/useast2a/tos-useast2a-pve-0068/3d54e53d1d194cca942f15834df4244a/?a=1988&br=2066&bt=1033&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031651510102231280501F5C2149&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amxydDQ6ZnJtOTMzNzczM0ApOjo7NjM8OTtmN2c7ZWQzaGcyNnNqcjQwam1gLS1kMTZzczJhYDReYC4yMjIyY2I1YWA6Yw%3D%3D&vl=&vr=', 'rjthecomposer': 'https://v16-webapp.tiktok.com/dbc90525678cd5f170311ea6f3c7bc92/61d37e1e/video/tos/useast2a/tos-useast2a-pve-0068/f196eed28cac4a789d39aecf522d9cb5/?a=1988&br=1846&bt=923&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031651510102231280501F5C2149&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3J2djY6ZmZ2NzMzNzczM0ApN2Y5Zjs6Nzs0N2UzMzo1PGdrNGphcjRfYWlgLS1kMTZzc18xMzQuYTM0Yi81X2E0My86Yw%3D%3D&vl=&vr=', 'jeremyolenski': 'https://v16-webapp.tiktok.com/c04b21ae7f49e0bb89b0f93f4e7b4dac/61d37e1b/video/tos/useast2a/tos-useast2a-ve-0068c003/d3693e484e1049f68041898fff2a63f2/?a=1988&br=1826&bt=913&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031651510102231280501F5C2149&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amk7d2g6ZnhlNzMzNzczM0ApZDk1OTNkaTxoNzw1OjU5OmdtYWMzcjQwNDJgLS1kMTZzc181MTRhXy1fYjJeMTU2MjU6Yw%3D%3D&vl=&vr=', 'profflutebae': 'https://v16-webapp.tiktok.com/cb900974a2139a39667c1bfaf96239f4/61d37e2b/video/tos/useast2a/tos-useast2a-ve-0068c001/84dc6c93da3a4364b42dfe4d1725c806/?a=1988&br=2176&bt=1088&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031651510102231280501F5C2149&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2k6bTk6ZnB3NjMzNzczM0ApZTRmZTY6aWRlN2RnNTxlNmctLjAucjQwNnNgLS1kMTZzc15fXl8uNDBfNDA2XjBjYi46Yw%3D%3D&vl=&vr=', 'amandlafr': 'https://v16-webapp.tiktok.com/a8fff7717c0371f8cce6a4859565d839/61d37e10/video/tos/alisg/tos-alisg-pve-0037c001/ef8fbcf064f14b31b0b679f8a35e0f2a/?a=1988&br=2012&bt=1006&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031651510102231280501F5C2149&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajNmZm9oaXh5NjMzODczNEApO2Y4ZDc0OzxkN2g5Z2Y6O2dscy9xXnJyYTVgLS1kMS1zc18vYy82NmFjNTAyYGAxMGE6Yw%3D%3D&vl=&vr=', 'dompalombimusic': 'https://v16-webapp.tiktok.com/617fb86edfc76001bff98738afa3c814/61d37e1a/video/tos/useast2a/tos-useast2a-pve-0068/ccde2e9319cb45eaac3da6b91b4b8af1/?a=1988&br=1402&bt=701&cd=0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031651510102231280501F5C2149&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=Mzl1aTt3dXV3NjMzODczNEApZDs3ZTdkODw3Nzw7NTc2aGdpc2NeZ2RrYDJgLS1kMS1zc2ItXl8zYjJeXjRhM15fY2I6Yw%3D%3D&vl=&vr='}","['christmas', 'piano', 'jazz', 'ewf', 'september', 'feelgood', 'vibes', 'pop', 'effect', 'synths', 'head', 'duet', 'jazztok', 'musician', 'unresolved', 'flutetok', 'cover', 'videogamemusic', 'videogamejazz', 'nintendo', 'ds', 'ost', 'jazzfusion']",['piano'],"['jazz', 'pop']"
bomelmusic,Bomel,Instagram : Bomelmusic,False,89,0,339,4,2022-01-01,[],[],[],{},"['foryoupage', 'fyp', 'foryourdiscotheque', 'foryourpage', 'bomel', 'foryou']",[],[]
katpenkin,katpenkin,"I make music and think I’m funny 🤗 

LOVE SEX FAME OUT 10.12.21
@katpenkin",False,3164,448,124200,51,2021-12-29,['aminahumphreys'],[],['aminahumphreys'],{'aminahumphreys': 'https://v16-webapp.tiktok.com/4e701b1eb34d49ca85d771461d4615e4/61d37e2e/video/tos/useast2a/tos-useast2a-pve-0068/fed3a7f0b8634877842b13c8f3ca277a/?a=1988&br=2412&bt=1206&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031652100102230232080D6656CE&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2lmPDs6ZjxrOjMzNzczM0ApZzM7N2dlOGQ0N2g1aTk8OmdnMzIucjRnbS5gLS1kMTZzc2EwLWI1MjAvYF4zMGFjYF86Yw%3D%3D&vl=&vr='},"['fyp', 'foryou', 'foryoupage', 'mybrawlsuper', 'brighton', 'viral', 'bts', 'musicvideo', 'bigasyoox', 'music', 'simsselves', 'spotifywrapped']",[],[]
rjthecomposer,RJ Christian,"He/They
Business Inquiries: RJTheComposerBiz@Gmail.com
Sub to my Patreon 👇🏾",True,101500,1297,3000000,617,2021-12-31,"['alexengelberg', 'tiktok', 'thecameronshow']","['staceyryanmusic', 'winterbassett1', 'adamjdorfmanmusic']","['staceyryanmusic', 'winterbassett1', 'adamjdorfmanmusic', 'alexengelberg', 'tiktok', 'thecameronshow']","{'staceyryanmusic': 'https://v16-webapp.tiktok.com/0e86cff32db1dea9f550ca1081c70e6e/61d37e5e/video/tos/useast5/tos-useast5-pve-0068-tx/0807867dadce4a75b07d6646f8a8b5b0/?a=1988&br=1288&bt=644&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010316522801022307202527617A36&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajZlbjM6ZnVvOjMzZzczNEApNDZkZzk7NTtmNzk3ZTplNWdrbTEvcjRvZzRgLS1kMS9zczExLTAuNGJfMTM2NS4uYWE6Yw%3D%3D&vl=&vr=', 'winterbassett1': 'https://v16-webapp.tiktok.com/8204d158dc9ea44f18ef43ce6c897aec/61d37e5c/video/tos/useast5/tos-useast5-ve-0068c003-tx/b2b340f9dc6d4351aa90f522d7894ac8/?a=1988&br=1670&bt=835&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010316522801022307202527617A36&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzY2Zzs6ZmdnOTMzZzczNEApZzQ7OjdpNGU4N2kzZTxnaGdqczJycjRnY3BgLS1kMS9zczY0NTA1NTIyMi5gLi9eYjM6Yw%3D%3D&vl=&vr=', 'adamjdorfmanmusic': 'https://v16-webapp.tiktok.com/8204d158dc9ea44f18ef43ce6c897aec/61d37e5c/video/tos/useast5/tos-useast5-ve-0068c003-tx/b2b340f9dc6d4351aa90f522d7894ac8/?a=1988&br=1670&bt=835&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=2022010316522801022307202527617A36&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzY2Zzs6ZmdnOTMzZzczNEApZzQ7OjdpNGU4N2kzZTxnaGdqczJycjRnY3BgLS1kMS9zczY0NTA1NTIyMi5gLi9eYjM6Yw%3D%3D&vl=&vr=', 'alexengelberg': 'https://v16-webapp.tiktok.com/04952be70df0ae4718b0da1531fc46a6/61d37e6d/video/tos/useast5/tos-useast5-ve-0068c001-tx/819789c60f5d417db0f81c597b957a89/?a=1988&br=1736&bt=868&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165235010189072034095A2CE7&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajxnaTs6Zm84OTMzZzczNEApMzdnZWY6ZDxlNzk0NDQ7OmdjLjJucjRfcGtgLS1kMS9zczQ1XjNhXjQ1NC5gNjIwNi06Yw%3D%3D&vl=&vr=', 'tiktok': 'https://v16-webapp.tiktok.com/04952be70df0ae4718b0da1531fc46a6/61d37e6d/video/tos/useast5/tos-useast5-ve-0068c001-tx/819789c60f5d417db0f81c597b957a89/?a=1988&br=1736&bt=868&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165235010189072034095A2CE7&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajxnaTs6Zm84OTMzZzczNEApMzdnZWY6ZDxlNzk0NDQ7OmdjLjJucjRfcGtgLS1kMS9zczQ1XjNhXjQ1NC5gNjIwNi06Yw%3D%3D&vl=&vr=', 'thecameronshow': 'https://v16-webapp.tiktok.com/e67d263bded1d2827fddc35c424547dc/61d37ec5/video/tos/useast5/tos-useast5-pve-0068-tx/08390ec2c1d540f9afdf083ef4d1ea30/?a=1988&br=726&bt=363&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165235010189072034095A2CE7&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=am9sZzw6ZjlyOTMzZzczNEApZDxmNTU0aDw0Nzw0ODUzZmdzbmVmcjRfYWlgLS1kMS9zczUwMzQwLS4zXjNiLTQwMGA6Yw%3D%3D&vl=&vr='}","['duet', 'elmo', 'shipsthemusicaltrilogy', 'dance', 'thejerk', 'frozen', 'broadway', 'isitbussin']",[],[]
jeremyolenski,Jeremy Olenski,"I do Impressions, Crypto, Art & Comedy! 😀 Elmo/Kermit/Mickey are PARODY Puppets",True,876800,432,7200000,263,2021-12-25,"['im_siowei', 'thehappyjewtalian', 'teejmalanagan']",[],"['im_siowei', 'thehappyjewtalian', 'teejmalanagan']","{'im_siowei': 'https://v16-webapp.tiktok.com/5a0ceeadf1ad84225cb21636c631cf49/61d37e50/video/tos/useast2a/tos-useast2a-ve-0068c001/ac8c9d8338a9416eab35009b8572fe80/?a=1988&br=2300&bt=1150&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031652420102230741331160240A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3l2dDc6Zjg1OTMzNzczM0ApNmZoZDM1OTs0N2U6Ozc5Z2deZnFgcjQwYnNgLS1kMTZzc2FfY2NjNjBiYy5gNC9jNF86Yw%3D%3D&vl=&vr=', 'thehappyjewtalian': 'https://v16-webapp.tiktok.com/5dfedeb28c9d3510497d8953200b0a5f/61d37e75/video/tos/useast5/tos-useast5-pve-0068-tx/94b63aba4e2548369571ea7e23ef83a0/?a=1988&br=2862&bt=1431&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031652420102230741331160240A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2lobjQ6ZnI1OTMzZzczNEApZ2ZmOmQzZGQ6NzVnOzY5NmdwNl5icjRfbzVgLS1kMS9zc14xNjUxYDMyLzRhYl40MS46Yw%3D%3D&vl=&vr=', 'teejmalanagan': 'https://v16-webapp.tiktok.com/c69147d294e09a1584044dc994340dc8/61d37e5f/video/tos/useast5/tos-useast5-ve-0068c002-tx/99c6ba82564145f7b697b3596bca3900/?a=1988&br=1562&bt=781&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=202201031652420102230741331160240A&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzRvZjk6Zm53ODMzZzczNEApMzM8NDhkaDs8NzNoNGc0ZGdhaGljcjRvX3JgLS1kMS9zcy0zXl4zLWIxM15eXzYzLmM6Yw%3D%3D&vl=&vr='}","['christmas', 'feliznavidad', 'workofart', 'parodykermit', 'themuppets', 'geicogivehappy', 'merrychristmas', 'makeabunchhappen', 'okperfect', 'parodyelmo', 'badneighbors', '2021recap', 'askontiktok', 'dadjoke', 'dayinmylife', 'dog', 'stripcoin', 'crypto', 'memecoins', 'halloween', 'horrify', 'horrortok', 'halloweenlook', 'michaelmyers', 'freddykrueger', 'lucky', 'bestfriend', 'kermitthefrog', 'kermitparody', 'nissanshowup']",[],[]
profflutebae,Flutebae,"Professor of Flute Studies, TnSU 🐯🎶
Mother 🤱🏾
Flutebae®️",False,21000,84,272500,28,2021-08-18,"['silksonic', 'brassville', 'gmurray888', 'thebookishbaddie']",['danfabervocalstudio'],"['danfabervocalstudio', 'silksonic', 'brassville', 'gmurray888', 'thebookishbaddie']","{'danfabervocalstudio': 'https://v16-webapp.tiktok.com/cfa5839eaf1a9889c18d1f99f366766a/61d37e7a/video/tos/useast2a/tos-useast2a-pve-0068/35d5fdbe315b4816a3695d15aad9597e/?a=1988&br=1032&bt=516&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165258010189072072135E9315&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzRtcDo6ZmY3NzMzNzczM0ApNDU7OjloNjwzNzszMztkNWcwYWcucjRvMF5gLS1kMTZzczM1YV9hMjVgYTEvNWE2YmI6Yw%3D%3D&vl=&vr=', 'silksonic': 'https://v16-webapp.tiktok.com/b0b081c6b13d0d00bbf2172ff1ed8697/61d37eba/video/tos/useast2a/tos-useast2a-ve-0068c001/39a746787b204240bdd5baf927b013b6/?a=1988&br=1166&bt=583&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165258010189072072135E9315&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amg7NWQ6ZnJlNzMzNzczM0ApM2c8ODU0OWU2N2hlOzxlOWc1NGNycjRvaC5gLS1kMTZzczIzMDMwYGBeX18tNGBeMV46Yw%3D%3D&vl=&vr=', 'brassville': 'https://v16-webapp.tiktok.com/b0b081c6b13d0d00bbf2172ff1ed8697/61d37eba/video/tos/useast2a/tos-useast2a-ve-0068c001/39a746787b204240bdd5baf927b013b6/?a=1988&br=1166&bt=583&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165258010189072072135E9315&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amg7NWQ6ZnJlNzMzNzczM0ApM2c8ODU0OWU2N2hlOzxlOWc1NGNycjRvaC5gLS1kMTZzczIzMDMwYGBeX18tNGBeMV46Yw%3D%3D&vl=&vr=', 'gmurray888': 'https://v16-webapp.tiktok.com/53ba31b68f93f2a7c6710181b80fe937/61d37e72/video/tos/useast2a/tos-useast2a-ve-0068c002/182a26a176b240bb851c62366cd23c44/?a=1988&br=1344&bt=672&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165258010189072072135E9315&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amk4aDc6ZmlnNjMzNzczM0ApO2c1OTpkZTs6NzQ4Zmc5NmdfbjM1cjRfX29gLS1kMTZzc2IvNS0tXmIyXy9hXy5eNWA6Yw%3D%3D&vl=&vr=', 'thebookishbaddie': 'https://v16-webapp.tiktok.com/f98140d87923c2b7a1d84a63464c7457/61d37e85/video/tos/useast2a/tos-useast2a-ve-0068c003/3729dc2eba0d4ffca203d0e196cfd285/?a=1988&br=1138&bt=569&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165258010189072072135E9315&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajc6eWk6ZjhyNjMzNzczM0ApNDM3NTxpPGQ5NzZoOjtmNmcwNGdocjRfb2dgLS1kMTZzczVeL2M1XmBiXy9fNi8vMGM6Yw%3D%3D&vl=&vr='}","['flutebae', 'flutetok', 'blackmusicians', 'musiciansoftiktok', 'blackcreatorsoftiktok', 'musiciantok', 'duet', 'smallblackbusiness', 'flutist', 'blackcreatives', '1stviral', 'dancetok', 'flutistsoftiktok']",[],[]
amandlafr,amandla stenberg,hello it is amandla,True,585500,56,8800000,31,2022-01-03,['gavinboyd024'],[],['gavinboyd024'],{'gavinboyd024': 'https://v16-webapp.tiktok.com/664caf691955a974def5301e35af03d6/61d37e5e/video/tos/useast5/tos-useast5-ve-0068c001-tx/22f70a18099f4af79a2d1cd04cd9ad21/?a=1988&br=2292&bt=1146&cd=0%7C0%7C1&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=Yu12_F8rkag3-I&l=20220103165304010192166219135B1763&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3A0Nzk6Zms4OjMzZzczNEApPDQ4ZTU7NmQ7N2ZlZzRkZmcvYmkvcjRnNDZgLS1kMS9zczMuLmAuMTJeYTAuYGIuMy86Yw%3D%3D&vl=&vr='},['stitch'],[],[]
