Source,Target,Type
0,1,undirected
1,2,undirected
1,0,undirected
1,3,undirected
1,4,undirected
2,5,undirected
2,1,undirected
2,6,undirected
2,7,undirected
2,8,undirected
2,9,undirected
3,10,undirected
3,11,undirected
3,12,undirected
3,13,undirected
3,14,undirected
4,15,undirected
4,16,undirected
6,6,undirected
8,2,undirected
8,7,undirected
10,17,undirected
11,18,undirected
11,19,undirected
11,20,undirected
11,21,undirected
11,22,undirected
11,23,undirected
12,24,undirected
13,25,undirected
13,26,undirected
14,27,undirected
14,28,undirected
16,29,undirected
16,30,undirected
16,31,undirected
16,32,undirected
16,33,undirected
16,34,undirected
16,35,undirected
16,36,undirected
16,37,undirected
17,38,undirected
18,19,undirected
19,18,undirected
21,39,undirected
21,40,undirected
21,41,undirected
21,42,undirected
21,43,undirected
22,44,undirected
22,45,undirected
23,46,undirected
25,47,undirected
26,48,undirected
26,49,undirected
27,50,undirected
27,51,undirected
28,52,undirected
28,53,undirected
28,54,undirected
29,16,undirected
30,16,undirected
31,16,undirected
32,55,undirected
33,56,undirected
34,16,undirected
34,57,undirected
34,58,undirected
35,35,undirected
39,59,undirected
39,60,undirected
39,61,undirected
39,39,undirected
39,13,undirected
39,21,undirected
40,21,undirected
40,40,undirected
40,62,undirected
40,63,undirected
41,41,undirected
41,64,undirected
41,65,undirected
42,21,undirected
42,66,undirected
43,21,undirected
43,51,undirected
44,22,undirected
44,67,undirected
46,23,undirected
46,68,undirected
46,69,undirected
47,70,undirected
47,71,undirected
47,72,undirected
47,73,undirected
47,74,undirected
47,75,undirected
50,76,undirected
50,77,undirected
50,78,undirected
50,79,undirected
50,50,undirected
52,52,undirected
52,80,undirected
53,21,undirected
53,81,undirected
54,82,undirected
54,83,undirected
54,84,undirected
54,85,undirected
54,54,undirected
54,86,undirected
54,11,undirected
54,87,undirected
56,32,undirected
57,88,undirected
57,89,undirected
57,90,undirected
57,91,undirected
57,92,undirected
57,93,undirected
57,94,undirected
59,95,undirected
59,96,undirected
59,97,undirected
62,21,undirected
62,62,undirected
63,98,undirected
63,99,undirected
66,100,undirected
67,13,undirected
73,73,undirected
74,73,undirected
75,47,undirected
77,77,undirected
77,10,undirected
82,82,undirected
83,83,undirected
84,21,undirected
84,84,undirected
98,63,undirected
